레시피명,재료,재료목록
치즈두부샐러드,"까망베르치즈 8g, 두부 25g, 새싹채소 5g, 아몬드슬라이스 1g, 유자청 6g, 식초 1g, 레몬즙 2g, 올리브유 3g, 저염간장 2g","['까망베르치즈', '두부', '올리브유', '새싹채소', '저염간장', '아몬드슬라이스', '레몬즙', '유자청', '식초']"
된장숙성저수분수육,"앞다리살 돈육(보쌈용) 100g, 양파 40g, 대파 20g,저염된장 4g, 통후추 1g, 월계수잎 1g, 생강가루 2g, 다진마늘 4g","['양파', '다진마늘', '통후추', '생강가루', '저염된장', '앞다리살돈육', '대파', '월계수잎']"
스마일오이피클,"오이 80g, 배 50g, 홍피망 5g, 청피망 5g, 노랑파프리카 5g, 식초 3g, 설탕 6g, 물 100ml, 피클링스파이스 1g","['오이', '홍피망', '청피망', '노랑파프리카', '피클링스파이스', '설탕', '식초']"
참나물 소보로덮밥,"건취나물(10g), 건표고버섯(20g), 불린 쌀(80g), 불린 곤약쌀(60g), 다진 돼지고기(20g), 달걀(1개), 참나물(10g), 간장(7g), 참기름(3g), 소금(1g), 식용유(3㎖)","['건표고버섯', '불린쌀', '건취나물', '다진돼지고기', '달걀', '식용유', '소금', '참기름', '참나물', '불린곤약쌀', '간장']"
버섯초계탕,"[ 2인분 ] 닭(1마리), 양파(1개), 대파(1대), 미나리(½줌), 새송이버섯(3개), 팽이버섯(1봉), 마늘(6쪽), 양송이버섯(4개), 달걀(1개), 전분(0.7Ts), 간장(0.5Ts), 소금(0.3ts), 후춧가루(약간)","['양파', '양송이버섯', '팽이버섯', '달걀', '마늘', '소금', '새송이버섯', '미나리', '전분', '간장', '대파']"
사과채소타코,"[ 2인분 ] 양상추(2장), 사과(½개), 토르티야(4장), 슈레드 모차렐라치즈(약간), 양파(⅛개), 파프리카(⅛개), 토마토(½개), 할라피뇨 피클(4개), 스리라차 소스(1Ts), 스테비아(0.5Ts), 아보카도(½개), 살사소스(1Ts), 라임즙(1Ts), 무가당 플레인 요거트(2Ts), 마요네즈(1Ts), 다진 마늘(1Ts), 파슬리가루(0.5Ts), 라임즙(1Ts), 후춧가루(약간)","['사과', '양파', '토르티야', '양상추', '마요네즈', '아보카도', '무가당플레인요거트', '다진마늘', '파슬리가루', '스테비아', '할라피뇨피클', '파프리카', '라임즙', '토마토']"
케첩 완자,"돼지목살다진것 50g, 청경채 20g, 케첩 10g, 파다진것 5g, 생강다진것 5g, 전분 5g, 소금적당량","['청경채', '전분', '돼지목살다진것', '생강다진것', '케첩', '파다진것', '소금적당량']"
홍시 생밤 무침,"홍시 40g, 바나나 40g, 생밤 10g, 대추 5g, 호두 5g","['호두', '생밤', '홍시', '대추', '바나나']"
고구마 경단,"고구마 50g, 카스텔라 20g, 우유 5g, 버터 2g, 꿀 3g, 건포도 20g, 소금 적당량","['버터', '카스텔라', '건포도', '우유', '고구마', '소금적당량']"
두부 깻잎 과자,"두부 30g, 깻잎 10g, 밀가루박력분 10g, 베이킹파우더 2g, 설탕 10g, 달걀 20g, 검은깨 3g, 소금적당량","['두부', '검은깨', '깻잎', '달걀', '베이킹파우더', '설탕', '밀가루박력분', '소금적당량']"
두부양갱,"치자 2g, 백련초가루 1g, 두부 30g, 한천 2g, 설탕 10g, 물 40g","['두부', '백련초가루', '한천', '치자', '설탕']"
멸치 누룽지과자,"밥 70g, 잔멸치 20g, 통깨 5g, 설탕 5g","['통깨', '설탕', '잔멸치']"
복숭아 화채,"오미자 5g, 천도복숭아 30g, 배 10g, 설탕 10g, 물 45g, 잣 1g 설탕시럼 설탕과 물을 동량으로 하여 중불에서 서서히 녹인다. 기호에 맞게 만든다.","['천도복숭아', '오미자', '잣설탕시럼설탕과물을동량으로하여중불에서서서히녹인다기호에맞게만든다', '설탕']"
사과 포도주스 조림,"사과 60g, 포도주스 60g, 계피가루 2g, 아이스크림 30g","['포도주스', '사과', '아이스크림', '계피가루']"
홍시 쉐이크,"냉동홍시 70g, 오미자 5g, 물 35g, 레몬즙 4g, 꿀 5g, 민트 1g","['민트', '오미자', '레몬즙', '냉동홍시']"
김치떡,"메밀가루 20g, 찹쌀가루 20g, 밀가루 20g, 물 20g, 소금적당량 [소재료] 김치 20g, 오징어 30g [양념] 설탕 5g, 깨소금 1g, 파다진것 4g, 마늘다진것 3g, 참기름 1g","['밀가루', '깨소금', '마늘다진것', '참기름', '소금적당량김치', '파다진것', '오징어설탕', '메밀가루', '찹쌀가루']"
누룽지 피자,"잡곡밥흑미 검은콩 50g, 피자치즈 20g, 양파 10g, 청 피망 8g, 홍 피망 8g, 양송이 10g, 햄 5g, 캔옥수수 10g, 실파 5g[피자소스] 마늘다진것 2g, 양파다진것 5g, 쇠고기다진것 5g, 토마토케첩 8g, 설탕 3g, 간장 1g, 소금적당량, 후춧가루 적당량","['잡곡밥흑미검은콩', '양파', '토마토케첩', '피자치즈', '홍피망', '청피망', '캔옥수수', '쇠고기다진것', '후춧가루적당량', '양송이', '양파다진것', '설탕', '간장', '소금적당량']"
단호박 새우찜,"단호박작은것 125g, 잔새우살다진것 20g, 두부 20g, 건표고버섯 10g, 청피망다진것 10g, 홍피망다진것 10g, 실파 5g, 밀가루 8g, 마늘 3g, 깨소금 1g, 참기름 1g, 소금 1g, 흰후춧가루 1g","['단호박작은것', '두부', '건표고버섯', '밀가루', '깨소금', '흰후춧가루', '마늘', '소금', '홍피망다진것', '실파', '참기름', '잔새우살다진것', '청피망다진것']"
두부 샌드위치,"두부 80g, 키위 20g, 오렌지 20g, 토마토 20g, 바나나 20g, 사과 20g, 꿀 10g, 소금적당량, 식용유 5g","['오렌지', '두부', '사과', '식용유', '키위', '토마토', '소금적당량', '바나나']"
라이스페이퍼 새우롤,"새우 20g, 홍피망 5g, 팽이버섯 5g, 숙주 15g, 무순 3g, 상추 5g, 차이브 5g, 쌀국수가는것 15g, 라이스페이퍼 20g[새콤 달콤 소스] 양파 5g, 마늘 1g, 홍고추 1g, 청고추 1g, 물전분 약간, 물 약간, 식초 3g, 설탕 1g, 고추기름 약간","['청고추', '쌀국수가는것', '팽이버섯', '홍피망', '홍고추', '상추', '마늘', '무순', '새우', '설탕', '차이브', '숙주', '식초']"
"레몬, 파슬리 빵가루를 입힌 도미","도미 40g, 마늘다진것 2g, 빵가루 10g, 버터 1g, 레몬주스 3g, 레몬제스트 2g, 파슬리다진것 2g, 소금적당량, 후추적당량","['버터', '레몬제스트', '파슬리다진것', '마늘다진것', '빵가루', '후추적당량', '도미', '레몬주스', '소금적당량']"
롤피자,"밀가루중력분 80g, 이스트 2g, 따뜻한물 20g, 소금 1g, 올리브오일 1g, 청피망 10g, 홍피망 10g, 베이컨 5g, 양파 10g, 양송이 5g, 토마토소스 5g, 모짜렐라 치즈 12g, 바질 1g, 오레가노 1g, 파마산치즈 2g","['파마산치즈', '베이컨', '양파', '밀가루중력분', '이스트', '모짜렐라치즈', '오레가노', '홍피망', '바질', '청피망', '양송이', '소금', '올리브오일', '따뜻한물']"
닭곰탕,"•필수재료 : 닭 정육(90g), 대파(10g), 무(70g), 양파(20g), 홍고추(5g), 마늘(3g), 청양고추(5g)
•육수재료 : 닭뼈(200g), 다시마(3g), 대파(5g), 마늘(2g), 물(600g)
•양념 : 후추(5g)","['양파', '홍고추', '다시마', '마늘', '청양고추', '닭뼈', '후추', '대파', '닭정육']"
미나리버섯고기말이&산채소스,"돈등심 80g, 새송이버섯 24g, 미나리 18g, 후추 0.3g, 찹쌀가루 15g, 참나물 5g, 취나물 5g, 올리브오일 10g, 땅콩 2g, 파마산치즈 1g, 마늘 1g","['파마산치즈', '돈등심', '마늘', '새송이버섯', '미나리', '참나물', '올리브오일', '후추', '땅콩', '취나물', '찹쌀가루']"
오이파프리카새콤무침,"오이 10g, 파프리카(빨강/노랑) 각 5g, 식초 2g, 설탕 2g","['설탕', '파프리카각', '식초', '오이']"
양상추샐러드 & 과일드레싱,"•필수 재료 : 양상추(60g), 당근(10g), 적양배추(10g), 치커리(5g)
•소스 : 사과(20g), 파인애플(15g), 레몬즙(1g)","['당근', '사과', '양상추', '적양배추', '파인애플', '치커리', '레몬즙']"
시금치들깨무침,"시금치 70g, 파 5g, 마늘 5g, 들깨가루 15g, 통깨 5g, 들기름 5g, 소금(데치는용) 5g","['통깨', '시금치', '마늘', '소금', '들기름', '들깨가루']"
채소롤초밥,"[ 2인분 ] 가지(1개), 오이(1개), 밥(400g), 소금(0.4ts), 다시마가루(2Ts), 매실식초(2ts), 참기름(2Ts), 참깨(2Ts)","['오이', '가지', '소금', '참기름', '다시마가루', '매실식초', '참깨']"
미니 떡갈비,"쇠고기샄코기 80g, 새송이버섯 40g, 밀가루 4g, 잣가루 1g<br /> [떡갈비 양념] 간장 5g, 배즙 5g, 양파즙 5g, 꿀 4g, 다진 파 5g, 다진 마늘 3g, 깨소금 1g, 참기름 1g, 후춧가루 1g","['밀가루', '깨소금', '다진마늘', '쇠고기샄코기', '후춧가루', '양파즙', '참기름', '새송이버섯', '잣가루간장', '배즙', '다진파']"
배추 달걀볶음,"배추 50g, 달걀 30g, 돼지고기 20g, 파 3g, 생강다진것 2g, 간장 2g, 목이버섯 10g, 닭육수 10g, 물전분 10g, 식용유 3g, 소금적당량","['물전분', '달걀', '식용유', '생강다진것', '닭육수', '돼지고기', '목이버섯', '간장', '소금적당량', '배추']"
사과와 양파를 곁들인 돼지등심 요리,"돼지등심 100g, 오레가노마른것 1g, 바질마른것 1g, 올리브오일 1g, 양파 15g, 사과 20g, 소금적당량, 통후추부순것 2g","['양파', '사과', '바질마른것', '오레가노마른것', '올리브오일', '돼지등심', '통후추부순것', '소금적당량']"
새우 속을 채운 리치와 감자튀김,"새우 60g, 달걀흰자 10g, 실파 5g, 물밤다진것 15g, 소금적당량, 후추적당량, 리치캔 35g, 감자 30g, 전분 3g, 튀김기름 10g [소스] 올ㄹ브오일 1g, 다진 양파 3g, 다진생강 1g, 다진마늘 1g, 고추기름 0.5g, 식초 3g, 설탕 1.5g, 소금적당량, 후추적당량, 전분 1g, 다진 레몬껍질 약간","['다진양파', '고추기름', '다진마늘', '다진생강', '감자', '실파', '달걀흰자', '새우', '후추적당량', '설탕', '전분', '물밤다진것', '식초', '소금적당량', '리치캔']"
생선살 완자 찹쌀 찜,"찹쌀 30g, 치자 5g, 시금치 10g, 당근 10g, 흰살생선 100g [흰 살생선 양념] 달걀흰자 15g, 생강즙 2g, 소금적당량, 흰후춧가루 적당량, 전분 3g","['당근', '흰살생선달걀흰자', '찹쌀', '흰후춧가루적당량', '시금치', '생강즙', '치자', '전분', '소금적당량']"
서양식 씨리얼(뮤즐리),"오트밀 15g, 꿀 5g, 플레인 요거트 18g, 아몬드 5g, 사과 8g, 건포도 4g, 우유 30g, 계피가루적당량, 바나나 10g, 키위 10g","['오트밀', '사과', '키위', '바나나', '플레인요거트', '우유', '건포도', '아몬드', '계피가루적당량']"
수퍼 브리또,"양파 10g, 할라피뇨 3g, 쇠고기갈은것 10g, 토마토콩카세 10g, 양상추 10g, 올리브오일 1g, 또띠아8인치 30g, 아보카도 6g, 사워크림 3g, 소금적당량, 후춧가루 적당량[강낭콩 퓨레]강낭콩 40g, 베이컨 2g, 마늘 1g, 양파 10g, 바질마른것 약간 [살사] 배 3g, 오렌지 3g, 레몬주스 2g, 파프리카 가루 1g","['쇠고기갈은것', '양파', '베이컨', '또띠아인치', '오렌지', '양상추', '아보카도', '사워크림', '후춧가루적당량강낭콩', '토마토콩카세', '마늘', '파프리카가루', '할라피뇨', '올리브오일', '레몬주스', '소금적당량']"
아보카도 달걀 샌드위치,"달걀 20g, 마요네즈 1g, 디존 머스타드 1g, 레몬주스 2g, 식빵 35g, 아보카도 6g, 워터크레스 1g, 소금 약간, 후추 약간","['식빵', '워터크레스', '마요네즈', '달걀', '아보카도', '레몬주스', '디존머스타드']"
알록달록 시금치 당근 수제비,"시금치 10g, 당근 15g, 밀가루 50g, 물 10g, 감자 10g, 애호박 15g, 실파 5g, 멸치육수 200g, 다진 마늘 2g, 간장 2g, 소금 1g","['당근', '밀가루', '멸치육수', '다진마늘', '시금치', '소금', '감자', '실파', '애호박', '간장']"
인도식만두구이(사모사),"양파다진것 15g, 마늘다진것 2g, 생강다진것 1g, 청고추다진것 1g, 새우다진것 25g, 버터 1g, 레몬주수 1g, 생선육수 3g, 카레가루 2g, 토마토페이스트 3g, 달걀물 5g, 춘권피 20g, 올리브오일 1g","['달걀물', '버터', '새우다진것', '생선육수', '마늘다진것', '청고추다진것', '생강다진것', '레몬주수', '양파다진것', '춘권피', '토마토페이스트', '올리브오일', '카레가루']"
중국식 바비큐 폭립,"돼지갈비(바비큐용) 120g [소스] 양파작게자른것 20g, 마늘다진것 4g, 식용유 1g, 레드와인식초 2g, 황설탕 2g, 꿀 5g, 데미글라스 10g, 토마토케첩 2g, 머스타드 2g, 우스터소스 2g, 케이엔페퍼약간, 소금적당량, 후추적당량","['토마토케첩', '황설탕', '마늘다진것', '식용유', '데미글라스', '레드와인식초', '후추적당량', '머스타드', '소금적당량']"
"제주도 빙떡, 귤간장소스","메밀가루 50g, 무 30g, 후추 2g, 다시마 2g, 다진 마늘 5g, 다진 파 5g, 저염간장 5g, 통깨 2g, 귤 즙 10g, 참기름 2g","['통깨', '다진마늘', '다시마', '저염간장', '귤즙', '참기름', '후추', '메밀가루', '다진파']"
퓨전떡갈비,"소고기 40g, 돼지고기 6g, 양파 15g, 배 10g, 마늘 5g, 생강 2g, 저염간장 3g, 찹쌀가루 5g, 참기름 2g, 참깨 5g","['양파', '생강', '마늘', '저염간장', '돼지고기', '참기름', '소고기', '참깨', '찹쌀가루']"
마늘칩 감자샐러드,"감자 50g, 마늘 5g, 양파 5g, 마요네즈 10g, 플레인요거트 5g, 머스터드 1g, 설탕 2g, 파슬리 1g","['양파', '마요네즈', '머스터드', '파슬리', '마늘', '감자', '설탕', '플레인요거트']"
시래기닭조림,"•필수재료 : 닭고기(120g), 무(30g), 당근(20g), 양파(10g), 홍고추(1g), 청고추(1g), 무청시래기(삶은 것, 80g)
•양념 : 다진마늘(2g), 후추(1g), 저염간장(5g), 설탕(3g), 물엿(5g)","['당근', '양파', '청고추', '홍고추', '다진마늘', '물엿', '무청시래기삶은것', '저염간장', '닭고기', '설탕', '후추']"
두부튀김&무소스,"두부 70g, 계란 20g, 깻잎 2.5g, 옥수수전분 10g, 식용유 10g, 혼다랑어가쓰오부시 1g, 무 10g, 레몬쥬스 2g, 2배 양조식초 1.5g, 저염간장 3g, 미향 6g, 설탕 1g","['두부', '레몬쥬스', '깻잎', '식용유', '옥수수전분', '저염간장', '혼다랑어가쓰오부시', '설탕', '미향', '배양조식초', '계란']"
오징어튀김&딸기쨈,"오징어 35g, 밀가루 70g, 물 50g, 계란 32.5g 후추 0.1g, 식용유 500g, 딸기쨈 5g","['밀가루', '오징어', '식용유', '딸기쨈', '계란후추']"
감귤콩샐러드,"감귤 20g, 완두콩 8g, 수수 4g, 율무 10g, 병아리콩 20g, 유자청 10g, 치커리 6g, 올리브오일 10g","['감귤', '병아리콩', '수수', '올리브오일', '치커리', '율무', '유자청', '완두콩']"
바질향이 향긋한 고구마 찰 바케트,"(반죽재료) 강력분 675g, 소금 6g, 생이스트 10g, 물 375ml(바게트반죽용),  파인소프트 T 300g, 파인소프트 C 50g, 강력분 50g, 소금 8g, 분유 8g, 아몬드 분말 74g, 드라이 이스트(골드) 10g, 무염버터 54g, 달걀 50g(1개), 물 200ml(찰반죽용)
(속재료) 크림치즈 200g, 바질 페스토 30g, 노른자 20g, 고구마 다이스 100g","['아몬드분말', '무염버터', '달걀', '고구마다이스', '분유', '강력분', '바질페스토', '드라이이스트', '소금', '파인소프트', '생이스트', '크림치즈', '노른자']"
두유 크림 현미리소토,"손질된 고등어(60g), 양파(10g), 마늘(6g), 양송이버섯(1개), 청양고추(2g), 깻잎(1g), 불린 현미(150g), 검은콩 두유(200㎖), 달걀노른자(1개), 다시마(2g), 간장(5g), 레몬즙(8g)","['양파', '달걀노른자', '양송이버섯', '손질된고등어', '깻잎', '다시마', '마늘', '청양고추', '불린현미', '검은콩두유', '간장', '레몬즙']"
당근새우 카나페,"[ 2인분 ] 칵테일새우(2마리), 사과(½개), 양파(⅓개), 당근(¼개), 바게트(2조각), 다진 파슬리(0.5Ts), 블루베리(6알), 애플민트잎(6장), 당근(⅓개), 양파(⅓개), 레몬(⅓개), 후춧가루(3t), 레몬즙(6Ts), 식초(0.6Ts), 올리브유(1Ts)","['블루베리', '사과', '양파', '당근', '다진파슬리', '애플민트잎', '레몬즙', '바게트', '레몬', '올리브유', '후춧가루', '칵테일새우', '식초']"
아보카도 수란샐러드,"[ 2인분 ] 상추(3장), 레몬(½개), 아보카도(1개), 토마토(1개), 달걀(1개), 파프리카(빨강, 노랑 각 ½개), 소금(0.2ts), 식초(0.5ts), 소금(0.3ts), 후춧가루(약간), 바질가루(0.5t), 오레가노가루(0.5t), 올리브유(1Ts), 레몬즙(1Ts)","['노랑각개', '올리브유', '레몬', '아보카도', '달걀', '오레가노가루', '상추', '소금', '파프리카빨강', '토마토', '레몬즙', '바질가루', '식초']"
참깨 오렌지 쇠고기,"쇠고기사태 100g, 전분 2g, 간장 2g, 오렌지주스 10g, 굴소스 2g, 꿀 3g, 참깨 1g, 식용유 1g, 생강 1g, 오렌지 20g, 파인애플 28g","['오렌지', '생강', '식용유', '파인애플', '쇠고기사태', '전분', '간장', '참깨', '오렌지주스']"
치킨 버거 스테이크,"닭가슴살 80g, 빵가루 5g, 차이브 2g, 바질 1g, 파슬리 1g, 소금적당량, 후추적당량[양송이 속양파다진것 10g, 버터적당량, 양송이 30g, 빵가루 5g, 생크림 적당량","['바질', '빵가루', '파슬리', '버터적당량', '양송이', '생크림적당량', '후추적당량양송이속양파다진것', '닭가슴살', '차이브', '소금적당량']"
토마토소스 달걀볶음,"달걀 35g, 파 4g, 토마토소스 10g, 설탕 8g, 소금 적당량, 식물성기름 2g, 참기름 1g","['식물성기름', '달걀', '참기름', '설탕', '소금적당량']"
낫토 시래기 라이스전,"밥 40g, 양파다진것 10g, 당근다진것 5g, 낫토 15g, 시래기불린것 10g, 카레가루 3g, 파다진것 2g, 밀가루 5g, 달걀 10g, 식용유 적당량, 소금 적당량, 후춧가루 적당량","['당근다진것', '밀가루', '낫토', '달걀', '식용유적당량', '후춧가루적당량', '양파다진것', '파다진것', '카레가루', '시래기불린것', '소금적당량']"
나스와 샐러드,"달걀 20g, 완두콩 5g, 오이 10g, 토마토 20g, 레드어니언 10g, 로메인 10g, 홍고추 2g, 블랙올리브 2g, 바질 1g, 캔참치 20g<strong>[드래싱]</strong> 올리브오일 2g, 레드와인식초 2g, 디존 머스타드 1g, 마늘 1g, 설탕적당량","['레드어니언', '오이', '홍고추', '바질', '달걀', '설탕적당량', '마늘', '레드와인식초', '로메인', '토마토', '블랙올리브', '완두콩', '캔참치올리브오일', '디존머스타드']"
다시마전,"다시마 30g, 영양부추 3g, 청고추다진것 3g, 홍고추다진것 3g, 새우살다진것 10g, 밀가루 10g, 물 8g, 소금적당량[멸치액적소스]멸치액젓 2g, 물 3g, 설탕 2g, 깨소금 2g, 고춧가루 1g, 실파 2g","['새우살다진것', '밀가루', '깨소금', '청고추다진것', '다시마', '고춧가루', '영양부추', '실파', '설탕', '홍고추다진것']"
모듬옥수수,"옥수수 35g, 잣 3g, 청피망 25g, 당근 25g, 닭고기 35g, 식용유 1g, 물전분 6g, 소금 적당량","['당근', '물전분', '청피망', '식용유', '옥수수', '닭고기', '소금적당량']"
버섯 들깨탕,"느타리버섯 15g, 생표고버섯 15g, 팽이버섯 15g, 새송이벗서 15g, 우엉 15g, 조랭이떡 15g, 들깨 8g, 물 50g, 들기름 2g, 소금적당량","['팽이버섯', '우엉', '들깨', '조랭이떡', '새송이벗서', '들기름', '생표고버섯', '느타리버섯', '소금적당량']"
산마드래싱과 실곤약 샐러드,"그린비타민 8g, 치커리 8g, 배 15g, 포도주스 10g, 훈제오리가슴살 30g, 실곤약 20g [산마드래싱] 산마 10g, 우유 10g, 레몬주스 3g, 오렌지주스 3g, 호두 3g, 소금 적당량","['훈제오리가슴살', '호두', '실곤약산마', '포도주스', '그린비타민', '치커리', '우유', '레몬주스', '소금적당량', '오렌지주스']"
산호두부,"두부 35g, 돼지고기다진것 15g, 당근다진것 10g, 고추기름 2g, 완두콩 10g, 파 5g, 생강 3g, 물전분 10g, 소금 적당량","['당근다진것', '두부', '물전분', '고추기름', '생강', '돼지고기다진것', '완두콩', '소금적당량']"
섭산삼,"더덕 40g, 젖은 찹쌀가루 30g, 가루녹차 2g, 백년초 가루 2g, 설탕 1g, 꿀 5g, 소금 적당량, 튀김기름 8g","['튀김기름', '백년초가루', '젖은찹쌀가루', '설탕', '가루녹차', '더덕', '소금적당량']"
시금치 돼지고기 볶음,"돼지고기살코기 40g, 물전분 10g, 소금 적당량, 시금치 25g, 부추 10g, 간장 5g, 파 5g, 생강 3g, 식용유 2g","['물전분', '생강', '부추', '식용유', '시금치', '돼지고기살코기', '간장', '소금적당량']"
발사믹과 로즈마리로 향을 낸 오븐구이 야채,"단호박 40g, 당근 40g, 비트 40g, 고구마 40g, 꿀 8g, 발사믹식초 30g, 로즈마리 2g, 소금적당량, 후추 적당량","['당근', '비트', '단호박', '로즈마리', '후추적당량', '고구마', '소금적당량', '발사믹식초']"
종이에 싸서 구운 도미(파필로테),"도미살 65g, 소금 적당량, 후추 적당량, 샐러리 채친것 3g, 당근 채친것 3g, 대파채친것 3g, 양파채친것 6g, 피망채친것 5g, 브러컬리 5g, 레몬제스트 1g, 팽이버섯 3g, 버터 2g, 유산지 [허브버터] 버터 2g, 파마산치즈 1g, 통후추 약간, 오레가노 0.2g, 마늘 0.3g, 양파 0.5g","['파마산치즈', '양파', '샐러리채친것', '양파채친것', '대파채친것', '버터', '팽이버섯', '레몬제스트', '오레가노', '당근채친것', '도미살', '브러컬리', '유산지버터', '마늘', '후추적당량', '피망채친것', '소금적당량']"
무염 겉절이,"알배추 50g, 적양파 15g, 대파 5g, 풋고추 3g, 마늘 5g, 무청 3g, 고춧가루 5g, 매실액 2g, 식초 5g, 사과 10g","['사과', '적양파', '알배추', '무청', '마늘', '매실액', '풋고추', '대파', '식초', '고춧가루']"
닭가슴살호두크로켓,"닭가슴살 80g, 두부 20g, 양파 12.5g, 대파 5g, 호두 5g, 땅콩 2.5g, 마늘 2g, 생강 0.5g, 후추 0.3g, 설탕 3.8g, 식초 2.5g, 계란 65g(1.5개), 쌀가루 7g, 빵가루 25g, 순무 24g, 두유 45ml, 홀그레인 2.5g, 땅콩버터 5g, 레몬 7g, 파슬리 0.5g","['두부', '양파', '두유', '홀그레인', '대파', '식초', '생강', '후추', '빵가루', '마늘', '순무', '설탕', '땅콩', '레몬', '호두', '파슬리', '쌀가루', '닭가슴살', '땅콩버터', '계란']"
누룽지상추샐러드&유자드레싱,"누룽지 5g, 로메인상추 7.5g, 파프리카(빨간색/노란색) 12.5g, 유자청 7.5g, 식용유 500g, 올리브유 3.5g, 레몬즙 1g, 식초 1g, 후추 0.1g","['올리브유', '식용유', '식초', '누룽지', '후추', '파프리카', '레몬즙', '유자청', '로메인상추']"
견과류 미숫가루 빵,"(반죽재료) 강력분60g, 박력분 30g, 미숫가루 150g, 이스트 4g, 소금 5g, 달걀 50g(1개) , 버터 30g, 아몬드20g, 해바라기씨 30g, 호박씨 10g, 건포도 20g 
(아몬드우유) 아몬드 30g, 우유 180g 
(토핑) 버터10g, 아몬드 슬라이스10g, 미숫가루10g","['이스트', '버터', '달걀', '호박씨', '강력분', '해바라기씨', '미숫가루', '소금', '박력분', '아몬드슬라이스', '우유', '건포도', '아몬드']"
돼지 함초 덮밥,"양파(10g), 쪽파(3g), 레몬(3g), 무순(20개), 멸치(7~8마리), 건함초(3g), 다시마(5g), 밥(210g), 꽈리고추(5개), 돼지고기(등심, 120g), 수란(1개), 김가루(2g), 고추냉이(2g), 마늘(3쪽), 생강(1톨), 건고추(3개), 팔각(1개), 참기름(1T), 후춧가루(⅓Ts), 식용유(20ml)","['양파', '쪽파', '멸치', '참기름', '팔각', '생강', '건고추', '후춧가루', '꽈리고추', '마늘', '김가루', '레몬', '고추냉이', '건함초', '무순', '돼지고기등심', '다시마', '식용유', '수란']"
닭가슴살 채소쌈,"[ 2인분 ] 양상추(3장), 양파(¼개), 토마토(중간 크기 1개), 청양고추(2개), 할라피뇨 피클(10개), 닭가슴살(270g), 단호박(1개), 라이스페이퍼(7장), 플레인 요거트(1컵), 마늘(3~4쪽), 대파(½대), 후춧가루(0.5ts), 카레가루(1Ts)","['양파', '양상추', '단호박', '라이스페이퍼', '후춧가루', '카레가루', '대파', '마늘', '청양고추', '할라피뇨피클', '닭가슴살', '토마토', '플레인요거트']"
호두 사과 샐러드,"사과 60g, 샐러리 5g, 마요네즈 4g, 레몬주스 1g, 식초 1g, 호두 5g, 건포도 4g, 소금적당량","['사과', '마요네즈', '호두', '건포도', '레몬주스', '식초', '샐러리', '소금적당량']"
고구마란,"고구마 70g, 꿀 10g, 계피가루 2g, 대추 5g, 호박씨 5g","['계피가루', '호박씨', '고구마', '대추']"
과일 파이,"오렌지 25g, 사과 25g, 설탕 15g, 물전분 4g, 버터 1g, 식빵 30g","['오렌지', '사과', '식빵', '물전분', '버터', '설탕']"
수삼당근정과,"당근 50g, 수삼 30g, 꿀 20g, 물 10g, 계피가루 2g","['당근', '계피가루', '수삼']"
식혜 팥빙수,"팥 10g, 찹쌀가루 15g, 쑥가루 5g, 물 10g, 식혜 110g, 소금 적당량","['쑥가루', '식혜', '소금적당량', '찹쌀가루']"
야채칩,"연근 20g, 고구마 20g, 감자 20g, 단호박 20g, 당근 20g, 소금적당량","['당근', '단호박', '연근', '감자', '고구마', '소금적당량']"
잡곡강정,"검은콩튀밥 10g, 쌀튀밥 10g, 메닐튀밥 10g, 물엿 6g, 설탕 6g, 물 3g","['메닐튀밥', '검은콩튀밥', '쌀튀밥', '물엿', '설탕']"
잣 호두 강정,"잣 3g, 호두 3g, 대추 3g, 통깨 5g [시럽] 물엿 3g, 설탕 2g","['통깨물엿', '설탕', '호두', '대추']"
현미 크레이프,"현미가루 10g, 밀가루 20g, 우유 30g, 참기름적당량, 소금적당량 [팥소]팥 15g, 설탕 10g [당근조림] 당근 20g, 설탕 10g, 물 5g","['현미가루', '밀가루', '소금적당량팥', '참기름적당량', '설탕', '우유', '설탕당근']"
감자 주먹밥,"감자 80g, 밥 80g, 당근다진것 20g, 시금치 20g, 잔멸치 5g, 삶은 달걀 노른자 5g, 검은깨 1g, 흰깨 2g[밥양념] 참기름 2g, 소금적당량, 흰 후춧가루 적당량","['당근다진것', '잔멸치', '검은깨', '삶은달걀노른자', '흰깨참기름', '흰후춧가루적당량', '시금치', '감자', '소금적당량']"
고기완두조림,"돼지고기살코기 40g, 완두콩 30g, 물 5g, 육수 10g, 설탕 7g, 소금적당량, 전분 5g, 식용유 3g","['식용유', '육수', '돼지고기살코기', '설탕', '전분', '완두콩', '소금적당량']"
니고랭,"달걀물 10g, 식용유 1g, 홍고추 3g, 마늘다진것 1g, 닭가슴살 12g, 새우 12g, 양파 12g, 청경채 20g, 스파게티면 40g, 방울토마토 15g, 버터 적당량[소야소스] 간장 3g, 발사믹식초 1g, 굴소스 2g, 꿀 3g","['양파', '달걀물', '스파게티면', '청경채', '홍고추', '마늘다진것', '식용유', '방울토마토', '새우', '닭가슴살', '발사믹식초']"
